count,category,name,class,pop
25,All Crime,01b,Residual Sub Area,0
11,All Crime,01f,Residual Sub Area,0
1,All Crime,01h,Residual Sub Area,0
87,All Crime,01k,Residual Sub Area,0
3,All Crime,02b,Residual Sub Area,0
21,All Crime,02c,Residual Sub Area,0
473,All Crime,02e,Residual Sub Area,0
29,All Crime,02f,Residual Sub Area,0
6,All Crime,02k,Residual Sub Area,0
1,All Crime,02l,Residual Sub Area,0
26,All Crime,03w,Residual Sub Area,0
24,All Crime,05d,Residual Sub Area,0
12,All Crime,05f,Residual Sub Area,0
12,All Crime,06a,Residual Sub Area,0
5,All Crime,06b,Residual Sub Area,0
2,All Crime,06c,Residual Sub Area,0
9,All Crime,09h,Residual Sub Area,0
83,All Crime,09o,Residual Sub Area,0
22,All Crime,09p,Residual Sub Area,0
63,All Crime,09q,Residual Sub Area,0
20,All Crime,10d,Residual Sub Area,0
130,All Crime,10e,Residual Sub Area,0
359,All Crime,12a,Residual Sub Area,0
24,All Crime,12b,Residual Sub Area,0
6,All Crime,12c,Residual Sub Area,0
88,All Crime,12j,Residual Sub Area,0
2,All Crime,12k,Residual Sub Area,0
32,All Crime,12l,Residual Sub Area,0
2,All Crime,13a,Residual Sub Area,0
1,All Crime,13c,Residual Sub Area,0
1,All Crime,13e,Residual Sub Area,0
30,All Crime,13f,Residual Sub Area,0
19,All Crime,13g,Residual Sub Area,0
10,All Crime,13m,Residual Sub Area,0
773,All Crime,Abbeydale,Residential,5957
2020,All Crime,Acadia,Residential,10520
2130,All Crime,Albert Park/Radisson Heights,Residential,6997
1086,All Crime,Altadore,Residential,6942
592,All Crime,Alyth/Bonnybrook,Industrial,0
729,All Crime,Applewood Park,Residential,6981
1411,All Crime,Arbour Lake,Residential,10619
573,All Crime,Aspen Woods,Residential,9446
1041,All Crime,Auburn Bay,Residential,17607
105,All Crime,Aurora Business Park,Industrial,0
1387,All Crime,Banff Trail,Residential,4153
1546,All Crime,Bankview,Residential,5256
109,All Crime,Bayview,Residential,751
1365,All Crime,Beddington Heights,Residential,11514
61,All Crime,Bel-Aire,Residential,390
47,All Crime,Belmont,Residential,86
10833,All Crime,Beltline,Residential,25129
284,All Crime,Belvedere,Residential,41
68,All Crime,Bonavista Downs,Residential,928
2688,All Crime,Bowness,Residential,11150
582,All Crime,Braeside,Residential,5805
1593,All Crime,Brentwood,Residential,7267
2301,All Crime,Bridgeland/Riverside,Residential,6835
606,All Crime,Bridlewood,Residential,12641
145,All Crime,Britannia,Residential,690
464,All Crime,Burns Industrial,Industrial,0
1162,All Crime,Calgary International Airport,Industrial,0
299,All Crime,Cambrian Heights,Residential,2036
44,All Crime,Canada Olympic Park,Major Park,0
952,All Crime,Canyon Meadows,Residential,7624
1408,All Crime,Capitol Hill,Residential,4744
179,All Crime,Carrington,Residential,572
936,All Crime,Castleridge,Residential,6127
496,All Crime,Cedarbrae,Residential,6094
584,All Crime,Chaparral,Residential,12654
442,All Crime,Charleswood,Residential,3569
464,All Crime,Chinatown,Residential,2471
201,All Crime,Chinook Park,Residential,1662
205,All Crime,Christie Park,Residential,2128
400,All Crime,Citadel,Residential,10077
334,All Crime,Cityscape,Residential,3104
979,All Crime,Cliff Bungalow,Residential,1895
244,All Crime,Coach Hill,Residential,3244
339,All Crime,Collingwood,Residential,2249
795,All Crime,Copperfield,Residential,13823
512,All Crime,Coral Springs,Residential,5801
586,All Crime,Cornerstone,Residential,2648
365,All Crime,Cougar Ridge,Residential,6997
343,All Crime,Country Hills,Residential,3767
635,All Crime,Country Hills Village,Residential,2597
1117,All Crime,Coventry Hills,Residential,17667
1016,All Crime,Cranston,Residential,19884
2337,All Crime,Crescent Heights,Residential,6620
128,All Crime,Crestmont,Residential,1690
81,All Crime,Currie Barracks,Residential,1262
1068,All Crime,Dalhousie,Residential,8940
416,All Crime,Deer Ridge,Residential,3973
298,All Crime,Deer Run,Residential,5065
340,All Crime,Deerfoot Business Centre,Industrial,0
52,All Crime,Diamond Cove,Residential,690
